,place,properties,finishing_level,area,bathrooms,bedrooms,price
43,"Maadi,Maadi Degla",Apartments,Furnished ,180 Sqm,4 Bathrooms,2 Bedrooms,"3,000,000 Egp"
44,"Maadi,Maadi Degla",Penthouses,Semi Furnished,370 Sqm,4 Bathrooms,4 Bedrooms,"10,000,000 Egp"
45,"Maadi,Maadi Degla",Villas,Semi Furnished,400 Sqm,3 Bathrooms,4 Bedrooms,"10,000,000 Egp"
46,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,500 Sqm,4 Bathrooms,4 Bedrooms,"9,500,000 Egp"
47,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,350 Sqm,3 Bathrooms,4 Bedrooms,"5,500,000 Egp"
48,"Maadi,Maadi Degla",Apartments,Semi Furnished,140 Sqm,2 Bathrooms,3 Bedrooms,"3,300,000 Egp"
49,"Maadi,Maadi Degla",Duplexes,Semi Furnished,350 Sqm,3 Bathrooms,4 Bedrooms,"6,000,000 Egp"
50,"Maadi,Maadi Sarayat",Apartments,Furnished ,220 Sqm,2 Bathrooms,3 Bedrooms,"4,000,000 Egp"
51,"Maadi,Maadi Sarayat",Apartments,Furnished ,310 Sqm,3 Bathrooms,6 Bedrooms,"5,500,000 Egp"
52,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,300 Sqm,3 Bathrooms,4 Bedrooms,"5,000,000 Egp"
53,"Maadi,Maadi Sarayat",Ground Floors,Semi Furnished,200 Sqm,3 Bathrooms,3 Bedrooms,"3,000,000 Egp"
54,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,350 Sqm,3 Bathrooms,4 Bedrooms,"8,000,000 Egp"
55,"Marsa Matruh,Almaza Bay",Villas,Modern Furnished,280 Sqm,6 Bathrooms,6 Bedrooms,"65,000,000 Egp"
56,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,180 Sqm,3 Bathrooms,3 Bedrooms,"3,500,000 Egp"
57,"Maadi,Maadi Degla",Apartments,Semi Furnished,125 Sqm,3 Bathrooms,3 Bedrooms,"1,300,000 Egp"
58,"Maadi,Maadi Degla",Apartments,Semi Furnished,205 Sqm,2 Bathrooms,3 Bedrooms,"3,000,000 Egp"
59,"Maadi,Maadi Degla",Apartments,Furnished ,400 Sqm,4 Bathrooms,4 Bedrooms,"7,000,000 Egp"
60,"Maadi,Maadi Degla",Ground Floors,Semi Furnished,260 Sqm,4 Bathrooms,3 Bedrooms,"4,000,000 Egp"
61,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,175 Sqm,2 Bathrooms,2 Bedrooms,"2,500,000 Egp"
62,"Maadi,Maadi Degla",Apartments,Semi Furnished,175 Sqm,3 Bathrooms,2 Bedrooms,"4,900,000 Egp"
63,"Maadi,Maadi Sarayat",Ground Floors,Furnished ,400 Sqm,3 Bathrooms,3 Bedrooms,"5,500,000 Egp"
64,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,250 Sqm,3 Bathrooms,3 Bedrooms,"5,500,000 Egp"
65,"Maadi,Maadi Sarayat",Apartments,Furnished ,220 Sqm,3 Bathrooms,3 Bedrooms,"3,500,000 Egp"
66,"Maadi,Maadi Degla",Apartments,Semi Furnished,350 Sqm,3 Bathrooms,5 Bedrooms,"4,500,000 Egp"
67,"Maadi,Maadi Sarayat",Apartments,Unfurnished ,180 Sqm,2 Bathrooms,3 Bedrooms,"3,000,000 Egp"
68,"Maadi,Maadi Degla",Ground Floors,Semi Furnished,125 Sqm,1 Bathrooms,1 Bedrooms,"1,250,000 Egp"
69,"Maadi,New Maadi",Apartments,Unfurnished ,90 Sqm,1 Bathrooms,2 Bedrooms,"750,000 Egp"
70,"Maadi,New Maadi",Apartments,Semi Furnished,175 Sqm,2 Bathrooms,2 Bedrooms,"2,000,000 Egp"
71,"Maadi,Maadi Sarayat",Ground Floors,Semi Furnished,360 Sqm,3 Bathrooms,4 Bedrooms,"7,000,000 Egp"
72,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,200 Sqm,2 Bathrooms,3 Bedrooms,"3,200,000 Egp"
73,"Maadi,New Maadi",Villas,Semi Furnished,2000 Sqm,5 Bathrooms,5 Bedrooms,"30,000,000 Egp"
